,material,compatibility,chemical
0,,,Malic Acid
1,ABS plastic,N/A,Malic Acid
2,Acetal (Delrin®),A - Excellent,Malic Acid
3,Aluminum,B1 - Good,Malic Acid
4,Brass,B - Good,Malic Acid
5,Bronze,B2 - Good,Malic Acid
6,Buna N (Nitrile),A - Excellent,Malic Acid
7,Carbon graphite,B - Good,Malic Acid
8,Carbon Steel,D - Poor,Malic Acid
9,Carpenter 20,A - Excellent,Malic Acid
10,Cast iron,N/A,Malic Acid
11,Ceramic Al203,N/A,Malic Acid
12,Ceramic magnet,N/A,Malic Acid
13,ChemRaz (FFKM),A - Excellent,Malic Acid
14,Copper,D - Poor,Malic Acid
15,CPVC,N/A,Malic Acid
16,EPDM,D - Poor,Malic Acid
17,Epoxy,N/A,Malic Acid
18,Fluorocarbon (FKM),A - Excellent,Malic Acid
19,Hastelloy-C®,B - Good,Malic Acid
20,Hypalon®,D - Poor,Malic Acid
21,Hytrel®,N/A,Malic Acid
22,Kalrez,A - Excellent,Malic Acid
23,Kel-F®,N/A,Malic Acid
24,LDPE,B2 - Good,Malic Acid
25,Natural rubber,B - Good,Malic Acid
26,Neoprene,D - Poor,Malic Acid
27,NORYL®,N/A,Malic Acid
28,Nylon,A - Excellent,Malic Acid
29,Polycarbonate,N/A,Malic Acid
30,Polyetherether Ketone (PEEK),N/A,Malic Acid
31,Polypropylene,A1 - Excellent,Malic Acid
32,Polyurethane,N/A,Malic Acid
33,PPS (Ryton®),N/A,Malic Acid
34,PTFE,A - Excellent,Malic Acid
35,PVC,A2 - Excellent,Malic Acid
36,PVDF (Kynar®),A - Excellent,Malic Acid
37,Silicone,B - Good,Malic Acid
38,stainless steel - 304,A - Excellent,Malic Acid
39,stainless steel - 316,A2 - Excellent,Malic Acid
40,Titanium,A - Excellent,Malic Acid
41,Tygon®,A - Excellent,Malic Acid
42,Viton®,A - Excellent,Malic Acid
