,material,compatibility,chemical
0,,,Oils:Hydraulic Oil (Synthetic)
1,ABS plastic,N/A,Oils:Hydraulic Oil (Synthetic)
2,Acetal (Delrin®),N/A,Oils:Hydraulic Oil (Synthetic)
3,Aluminum,A - Excellent,Oils:Hydraulic Oil (Synthetic)
4,Brass,A - Excellent,Oils:Hydraulic Oil (Synthetic)
5,Bronze,A - Excellent,Oils:Hydraulic Oil (Synthetic)
6,Buna N (Nitrile),D - Poor,Oils:Hydraulic Oil (Synthetic)
7,Carbon graphite,B - Good,Oils:Hydraulic Oil (Synthetic)
8,Carbon Steel,A - Excellent,Oils:Hydraulic Oil (Synthetic)
9,Carpenter 20,A - Excellent,Oils:Hydraulic Oil (Synthetic)
10,Cast iron,N/A,Oils:Hydraulic Oil (Synthetic)
11,Ceramic Al203,N/A,Oils:Hydraulic Oil (Synthetic)
12,Ceramic magnet,N/A,Oils:Hydraulic Oil (Synthetic)
13,ChemRaz (FFKM),N/A,Oils:Hydraulic Oil (Synthetic)
14,Copper,A - Excellent,Oils:Hydraulic Oil (Synthetic)
15,CPVC,N/A,Oils:Hydraulic Oil (Synthetic)
16,EPDM,A - Excellent,Oils:Hydraulic Oil (Synthetic)
17,Epoxy,A - Excellent,Oils:Hydraulic Oil (Synthetic)
18,Fluorocarbon (FKM),N/A,Oils:Hydraulic Oil (Synthetic)
19,Hastelloy-C®,A - Excellent,Oils:Hydraulic Oil (Synthetic)
20,Hypalon®,A - Excellent,Oils:Hydraulic Oil (Synthetic)
21,Hytrel®,N/A,Oils:Hydraulic Oil (Synthetic)
22,Kalrez,A - Excellent,Oils:Hydraulic Oil (Synthetic)
23,Kel-F®,N/A,Oils:Hydraulic Oil (Synthetic)
24,LDPE,A - Excellent,Oils:Hydraulic Oil (Synthetic)
25,Natural rubber,D - Poor,Oils:Hydraulic Oil (Synthetic)
26,Neoprene,A - Excellent,Oils:Hydraulic Oil (Synthetic)
27,NORYL®,N/A,Oils:Hydraulic Oil (Synthetic)
28,Nylon,A1 - Excellent,Oils:Hydraulic Oil (Synthetic)
29,Polycarbonate,N/A,Oils:Hydraulic Oil (Synthetic)
30,Polyetherether Ketone (PEEK),A - Excellent,Oils:Hydraulic Oil (Synthetic)
31,Polypropylene,D - Poor,Oils:Hydraulic Oil (Synthetic)
32,Polyurethane,N/A,Oils:Hydraulic Oil (Synthetic)
33,PPS (Ryton®),N/A,Oils:Hydraulic Oil (Synthetic)
34,PTFE,A - Excellent,Oils:Hydraulic Oil (Synthetic)
35,PVC,A - Excellent,Oils:Hydraulic Oil (Synthetic)
36,PVDF (Kynar®),A - Excellent,Oils:Hydraulic Oil (Synthetic)
37,Silicone,B - Good,Oils:Hydraulic Oil (Synthetic)
38,stainless steel - 304,A - Excellent,Oils:Hydraulic Oil (Synthetic)
39,stainless steel - 316,A - Excellent,Oils:Hydraulic Oil (Synthetic)
40,Titanium,N/A,Oils:Hydraulic Oil (Synthetic)
41,Tygon®,A - Excellent,Oils:Hydraulic Oil (Synthetic)
42,Viton®,A - Excellent,Oils:Hydraulic Oil (Synthetic)
